,loan_amnt,int_rate,installment,annual_inc,dti,delinq_2yrs,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,out_prncp,total_pymnt,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_amnt,collections_12_mths_ex_med,mths_since_last_major_derog,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,loan_status_dv
total_acc,0.196456008,-0.046363033,0.175637125,0.107755056,0.143334441,0.117701537,0.162434376,-0.046249876,-0.16683667,0.72018799,0.00159456,0.203038652,-0.096618533,1,0.006946879,0.194569132,0.191472087,0.118280008,0.008130322,0.036455389,0.03643735,0.138519753,0.005435169,-0.046301347,0.025843433,0.007398547,0.32280817,0.260902921,0.399299237,0.25861012,0.353792959,-0.197360517,0.421728079,0.116783383,0.248112897,0.311767636,0.136830747,0.006290058,0.319030966,0.172472625,0.294307926,0.215916817,0.434768349,0.053240804,0.242817853,-0.072297179,0.041252283,0.00578027,0.341228561,0.282166533,-0.17302385,-0.217212957,0.368380908,-0.126634419,0.005138578,-0.130392933,-0.02445945,0.146536051,0.315559826,0.41766595,0.416769511,0.62998122,0.689688633,0.57656508,0.765158559,0.418283111,0.716965186,0.009186355,0.020442122,0.068061491,0.334501719,0.022559725,-0.057769313,0.020570097,-0.016177935,0.349537024,0.440562097,0.296477111,0.427667226,-0.015952869
out_prncp,0.485965358,0.025896957,0.399418756,0.079672473,0.065261195,-0.035372085,-0.083985388,0.033431257,0.136212642,0.065093423,-0.060472667,0.127203443,-0.035927572,0.006946879,1,-0.251426651,-0.322271937,0.097739793,-0.018735271,-0.092022338,-0.088838195,-0.294270571,-0.008466856,0.040395923,-0.020853391,-0.005017097,0.123854577,-0.051010007,0.020105423,-0.034882394,-0.026377417,0.005674556,0.08434846,-0.083300894,-0.064739903,-0.064758921,0.218101008,-0.033704159,0.170999363,-0.007985123,0.03018591,-0.041826722,-0.035660368,0.087320588,0.160152267,-0.061266339,-0.011293377,-0.004569482,0.03999324,0.045921803,0.061083842,0.044377294,0.017165353,0.034264061,-0.00299848,0.040457168,0.016529936,-0.030967962,0.080823933,0.045714973,0.09469843,-0.001338207,0.020308596,0.055991281,-0.011430072,0.045695922,0.066598064,-0.009385523,-0.016263982,-0.024118218,-0.044893354,0.043512399,-0.069782135,-0.037948905,-0.029273669,0.146305518,0.131794942,0.210833011,0.11984566,0.173430789
total_pymnt,0.653356846,0.103332318,0.654690632,0.127885306,-0.005009313,0.01814566,0.036123707,-0.041424813,-0.099640794,0.131468012,-0.019176438,0.23961624,0.167202255,0.194569132,-0.251426651,1,0.970633494,0.692987945,0.070741345,-0.000711364,0.002462845,0.59295588,-0.019272849,-0.027776037,0.017997443,-0.002355548,0.229252596,0.013821008,0.024072386,0.022352229,0.041693522,-0.014111049,0.099385178,-0.026492809,0.001333698,0.010778777,0.236784334,0.059234136,0.196451649,-0.005551686,0.056022488,0.041651121,0.00518764,0.17052131,0.063264766,0.133352046,0.004333712,0.004729663,0.104703371,0.144455746,0.015226651,0.004163764,0.223226117,0.022416538,-0.033749378,-0.021127019,-0.040825813,-0.031804779,0.140298289,0.127324972,0.138840657,0.19561702,0.063784216,0.119438723,0.172995015,0.127903945,0.130938702,0.005894242,0.016597351,-0.005292064,-0.008994734,0.054159654,0.108206345,-0.066789575,0.032175723,0.234618168,0.185567882,0.208845398,0.119758239,0.105350632
total_rec_prncp,0.588462122,-0.012048895,0.609658081,0.127461094,-0.025794123,0.010382743,0.023236381,-0.033384215,-0.094330313,0.121841593,-0.022078099,0.227546429,0.123853585,0.191472087,-0.322271937,0.970633494,1,0.506547449,0.042809946,-0.089386864,-0.084285384,0.673323591,-0.020114782,-0.022504922,0.014770671,-0.002000568,0.228721511,0.008736785,0.015591113,0.014929237,0.03247428,-0.009214169,0.08479322,-0.031235232,-0.002054081,0.005531965,0.217253604,0.023230877,0.205227425,-0.009794986,0.053913749,0.032759574,-0.002748166,0.174066571,0.09517957,0.091043389,0.003187558,0.00398447,0.099153448,0.145226604,0.017138866,0.008815664,0.224638907,0.022182729,-0.027963279,-0.012886187,-0.034536847,-0.033540907,0.123884588,0.102853716,0.136753819,0.199487979,0.057840939,0.112372282,0.173472169,0.102891607,0.121359428,0.005229821,0.013564002,-0.007925375,-0.016079494,0.059684446,0.068542272,-0.066002542,0.027987941,0.237513983,0.170689173,0.22322362,0.108290223,0.172598174
total_rec_int,0.578099167,0.405478282,0.515185399,0.076220961,0.059976713,0.032469306,0.053033076,-0.046563844,-0.068638821,0.103590719,-0.003840049,0.178387713,0.230148776,0.118280008,0.097739793,0.692987945,0.506547449,1,0.112265782,0.06114817,0.062107198,0.11277624,-0.009283631,-0.030464563,0.019496915,-0.002441326,0.13743061,0.017900653,0.041094509,0.030277277,0.046330456,-0.020286854,0.100067052,-0.001449528,0.006794036,0.016921437,0.18968213,0.153805572,0.089652345,0.008083834,0.033657417,0.045464465,0.017295583,0.091379236,-0.05888124,0.206721717,0.005600752,0.004879211,0.078982969,0.084288084,0.008315775,-0.005960151,0.126567881,0.018666911,-0.036352968,-0.031987548,-0.041421287,-0.014100677,0.131720133,0.147272978,0.086174816,0.098335636,0.052589092,0.088828074,0.094906221,0.149438921,0.103212439,0.005252994,0.018382019,0.004122242,0.007675152,0.014566958,0.183286342,-0.043007238,0.031336287,0.130410575,0.153522522,0.080658593,0.104290902,-0.034261941
total_rec_late_fee,0.063588286,0.060384219,0.074288782,0.017051396,0.000957099,0.034831604,0.017550062,-0.031835357,-0.039669497,0.00302887,0.006356511,0.014878922,0.032612237,0.008130322,-0.018735271,0.070741345,0.042809946,0.112265782,1,0.072617153,0.072768727,-0.017805187,0.004254181,-0.016631082,0.00724002,-0.000378832,0.02406663,0.011814696,0.010453055,0.017323194,0.01782148,-0.0082501,0.019655829,0.012558342,0.002860515,0.0026281,0.008185195,0.029998679,-0.002628071,0.014264738,0.013046438,0.023640954,0.012080912,0.0215874,-0.022349738,0.028563185,0.002682038,0.00130212,0.005594265,0.000382902,-0.0001857,-0.008500961,0.0063771,0.001994132,-0.026833571,-0.016272651,-0.027911378,0.00928768,-6.65E-05,0.004246431,-0.006604515,-0.005619265,0.016041442,-0.007404461,-0.005093466,0.004268028,0.002859465,0.001710644,0.008086004,0.01010363,0.011991561,-0.027895794,0.028218528,-0.009600509,0.016467208,0.021013038,0.026111548,-0.012169023,0.023902972,-0.103820278
recoveries,0.095866292,0.120831183,0.095164954,0.007380556,0.017057887,0.014408255,0.044573601,-0.014128497,-0.025889654,0.027095045,0.007442042,0.017064281,0.040921486,0.036455389,-0.092022338,-0.000711364,-0.089386864,0.06114817,0.072617153,1,0.976459276,-0.071585426,0.001948921,-0.010466948,0.007267803,-0.000485668,0.006476274,0.034758456,0.009334879,0.036917005,0.038511324,-0.021254673,0.016833135,0.022373489,0.028366227,0.035040659,0.009815108,0.034212088,-0.00101549,0.020484757,0.0114973,0.036798,0.050504076,-0.00339875,-0.025992447,0.040001708,0.002991256,0.001535126,0.005926631,-0.001250733,-0.023949305,-0.028975962,0.011281429,-0.020204714,-0.007250012,-0.030285242,-0.011231391,0.002707517,0.022526177,0.033991021,0.016498893,0.028519553,0.020796851,0.024279437,0.032059276,0.033630066,0.026693877,0.001883915,0.005708026,0.005086624,0.043309327,0.000917048,0.039589374,0.00235359,0.005941479,0.003028993,0.023748713,-0.007986139,0.018719409,-0.530599777
collection_recovery_fee,0.093405033,0.114320478,0.092767413,0.007366835,0.017571526,0.014367032,0.04111799,-0.013388545,-0.026559167,0.027508237,0.007824063,0.016865747,0.039082772,0.03643735,-0.088838195,0.002462845,-0.084285384,0.062107198,0.072768727,0.976459276,1,-0.069065252,0.002060734,-0.009605334,0.006726048,-0.000392966,0.006886079,0.034318035,0.009060653,0.036516392,0.037958142,-0.020980512,0.016572,0.021965136,0.02796795,0.03437235,0.010167908,0.034091622,-0.000462139,0.020163979,0.011454647,0.036383519,0.050051583,-0.003366151,-0.024904041,0.038307161,0.003158703,0.0015189,0.006606231,-0.000525893,-0.023439855,-0.02857199,0.011271378,-0.019827332,-0.006399969,-0.029005698,-0.010493507,0.0031297,0.022502306,0.034111121,0.016689468,0.0273066,0.021235658,0.024510741,0.031662383,0.033643706,0.027098739,0.002032733,0.005019469,0.005141224,0.042985092,0.000273207,0.037726542,0.00279983,0.005951465,0.00365538,0.02419649,-0.007206143,0.019503403,-0.512240045
last_pymnt_amnt,0.325632279,0.095318676,0.315620702,0.069294949,-0.018452345,-0.004278939,0.04561135,0.003841949,-0.01217225,0.069536908,-0.005217119,0.102534969,0.026045066,0.138519753,-0.294270571,0.59295588,0.673323591,0.11277624,-0.017805187,-0.071585426,-0.069065252,1,-0.012837331,0.008481421,0.005472944,0.001217725,0.152600256,0.040991923,0.012066307,0.060920429,0.078708682,-0.047022033,0.061788902,0.021330574,0.023741649,0.031171142,0.094944747,0.008177718,0.104398218,0.039099701,0.064307205,0.06414725,0.069854753,0.123298654,0.061382069,0.01105064,0.002578103,0.001677716,0.046782299,0.053587914,-0.02056364,-0.039897474,0.156744247,-0.016426898,0.008249882,-0.044680221,0.005096759,-0.009544815,0.033737749,0.024667452,0.065572899,0.115959561,0.064576498,0.057887683,0.107768599,0.022822392,0.069170585,0.002984005,0.004505407,-0.006177555,0.053992495,0.04202932,0.010189089,-0.009459474,0.000836303,0.153591454,0.099230849,0.107543105,0.073542305,0.14072109
collections_12_mths_ex_med,-0.023927624,0.019011338,-0.019333563,-0.003758737,-0.008577316,0.072028076,0.014143144,-0.039538701,-0.023284102,0.00645689,0.008568506,-0.025719782,-0.034224525,0.005435169,-0.008466856,-0.019272849,-0.020114782,-0.009283631,0.004254181,0.001948921,0.002060734,-0.012837331,1,-0.135035016,0.02159222,0.023858052,-0.013495729,0.010301871,0.00277743,-0.000831215,-0.004397637,0.001189594,-0.003224953,0.002690738,0.018100441,0.020594434,-0.035821831,-0.016610471,-0.021981746,0.008970466,-0.006302644,0.015752983,0.015188931,-0.014723303,-0.016147669,-0.02919693,0.042559964,0.006292173,0.009241279,-0.008793277,-0.012140408,-0.008983614,-0.013245874,-0.008605586,-0.01211128,-0.010920692,-0.011282561,0.049567826,-0.005041922,0.006277693,0.001737536,-0.010282895,0.007476866,0.00477879,-0.000451135,-0.001412791,0.005763989,0.002491417,0.000177237,0.107346086,0.013134141,-0.04844879,-0.030377476,-0.005056829,0.010474616,-0.013318009,-0.014307088,-0.028517336,-0.002639943,-0.007510099
mths_since_last_major_derog,0.006222832,-0.03266183,-0.001029705,-0.014608976,0.025049092,-0.435371342,-0.020665572,0.707858559,0.035873614,0.012020946,0.066030123,0.004005777,-0.006338776,-0.046301347,0.040395923,-0.027776037,-0.022504922,-0.030464563,-0.016631082,-0.010466948,-0.009605334,0.008481421,-0.135035016,1,-0.106885594,0.009028259,-0.02700739,0.018997659,-0.031838495,0.032817175,0.061520771,-0.030192461,-0.017402538,0.006763853,0.032085426,0.077902437,0.029949698,-0.008030699,0.022153036,0.013054672,-0.000612542,-0.002101638,0.120332177,-0.037084285,0.033625106,0.004924137,-0.202001158,-0.056345402,-0.013906047,-0.00779937,-0.067671076,-0.068446018,-0.053059892,-0.08164576,0.586159585,0.015932126,0.569598491,-0.083170292,0.046978671,0.037038205,0.028590005,0.001322315,-0.032319435,0.042206732,-0.017070238,0.048615371,0.015315119,-0.093947433,-0.020887607,-0.469746951,0.061179679,0.141340459,0.003871058,0.07881347,0.010209955,-0.030806821,-0.014177496,0.03464063,-0.020607618,0.013049409
acc_now_delinq,-0.000829327,0.016669033,0.001820861,0.006902281,-0.001068261,0.115854958,-0.000111431,-0.131203754,-0.020143843,0.016253226,-0.000354859,0.000830355,-0.019634573,0.025843433,-0.020853391,0.017997443,0.014770671,0.019496915,0.00724002,0.007267803,0.006726048,0.005472944,0.02159222,-0.106885594,1,6.16E-05,0.019614218,-0.003288548,0.00462914,-0.003132163,-0.003957813,0.000377137,0.00389692,-0.007890159,-0.002120255,-0.00138099,-0.003230759,-0.013679971,0.00777579,-0.003691791,0.003031447,-0.00189218,-0.002961799,0.013427014,0.008506926,-0.018234189,0.038782931,0.174553506,0.015158401,0.025540486,0.001018681,0.000533911,0.023324169,0.007424035,-0.101710702,0.001841126,-0.112237303,0.020624907,-0.005364091,0.002329175,-0.002689772,0.016104924,0.007674381,0.011323511,0.024345175,0.001795127,0.007367422,0.389288435,0.800725691,0.054227812,-0.004533074,-0.04291557,-0.015837794,-0.009430152,0.007003363,0.02277777,0.005917734,0.002615245,0.01108296,-0.008613645
